Gemstone,Image,Alternate Name,Chakra,Physical Attributes,Emotional Attributes,Metaphysical Attributes,Origin,Physical Description,Birth Month,Zodiac Sign,Mohs Hardness
Chandelier Quartz,,-,All,Overall well-being,"Amplifies energy, aids in balance","Enhances spiritual clarity, fosters alignment",Brazil,Quartz crystals with multiple terminations,-,-,7
Charoite,,,"Crown, Third Eye","Liver, Pancreas, Blood pressure","Aids in overcoming fear, stimulates spiritual growth","Enhances intuition, promotes transformation and insight",Russia,"Purple to lilac mineral with swirling patterns, used in jewelry and for its protective and transformative properties",,,5-6
Cherry Blossom Agate,,-,Heart,"Blood circulation, skin","Encourages stability, aids in grounding","Enhances joy, fosters growth",USA,Pinkish agate with blossom-like inclusions,-,-,6.5-7
Cherry Quartz,,-,Heart,"Blood circulation, skin","Stimulates vitality, aids in emotional healing","Enhances love, fosters compassion",USA,Man-made glass with pinkish-red color,-,-,7
Chiastolite,,Andalusite Cross Stone,"Root, Sacral","Immune system, Balance","Aids in transition, dispels negativity and fear","Enhances problem-solving, brings balance and harmony","Spain, United States, China","Brown variety of andalusite with a distinctive cross pattern, used in jewelry and for its grounding and protective properties",November,Scorpio,7-7.5
Chlorite,,-,Heart,"Immune system, circulation","Aids in detoxification, enhances healing","Enhances emotional balance, fosters purification",Worldwide,"Group of minerals, green in color",-,-,Variable
Chlorite Phantom Quartz,,-,All,Overall well-being,"Aids in healing, enhances energy flow","Amplifies spiritual growth, fosters transformation",Worldwide,Quartz crystals with chlorite inclusions,-,-,7
Chrysanthemum Stone,,Flower Stone,"Root, Sacral","Skin, bones","Encourages balance, aids in grounding","Enhances harmony, fosters transformation","Japan, China, Canada",Black stone with flower-like patterns,-,-,2.5-3
Chrysoberyl,,-,"Solar Plexus, Crown","Eyes, brain","Aids in protection, enhances intuition","Promotes clarity, fosters spiritual growth","Sri Lanka, Brazil, USA",Aluminum beryllium oxide mineral,November,Scorpio,8.5
Chrysocolla,,,"Throat, Heart, Root","Hypertension, Digestive system","Eases emotional heartache, aids in communication, Enhances communication, promotes inner balance and tranquility","Facilitates personal growth, harmony, and tranquility, Encourages self-awareness, supports emotional healing","Peru, United States, Mexico","Blue to green mineral often with brown or black veining, used in jewelry and ornamental objects",,,2.5-3.5
Chrysoprase,,,Heart,"Heart, Muscles, Fertility","Promotes emotional balance, forgiveness, and compassion","Attracts abundance, aids in releasing negative patterns","Australia, Brazil, United States",Apple-green variety of chalcedony often used in jewelry and for its healing properties related to the heart chakra,May,Taurus,6.5-7
Chrysotile,,-,All,Overall well-being,"Encourages positivity, aids in relaxation","Enhances adaptability, fosters balance",Worldwide,"Asbestos mineral, fibrous and silky",-,-,2.5-3
Cinnabrite,,-,"Root, Heart","Blood circulation, heart","Stimulates vitality, aids in emotional healing","Enhances love, fosters compassion","Russia, Mexico, USA","Red mineral, a combination of mercury and antimony",-,-,3-3.5
Citrine,citrine.png,,Solar Plexus,"Digestive system, Metabolism, Energy","Promotes positivity, abundance, and manifestation","Attracts wealth, enhances creativity and personal power","Brazil, Russia, France, Madagascar, United States","Yellow to golden-brown variety of quartz, transparent to translucent, often heat-treated for color enhancement",November,Scorpio,7
Clear Calcite,,Iceland Spar,All,Overall well-being,"Amplifies energy, aids in clarity","Enhances spiritual growth, fosters insight",Worldwide,Transparent calcium carbonate mineral,-,-,2.5-3
Clear Quartz,clear quartz.png,,All,"Master healer, Immune system, Amplification","Enhances clarity, focus, and spiritual connection","Amplifies energy, cleanses, and balances chakras","Brazil, Madagascar, United States","Transparent to translucent, often with six-sided prism shapes, known as rock crystal",April,Aries,7
Cleavelandite,,-,Crown,"Brain, nervous system","Encourages clarity, aids in relaxation","Enhances meditation, fosters insight","USA, Brazil, Madagascar","White variety of albite, a feldspar mineral",-,-,6-6.5
Cloud Agate,,-,Crown,"Brain, nervous system","Encourages tranquility, aids in balance","Enhances mental clarity, fosters grounding",USA,White to gray agate with cloudy formations,-,-,6.5-7
Columbite,,-,"Root, Sacral","Muscles, metabolism","Aids in grounding, enhances strength","Promotes perseverance, fosters insight","Nigeria, Brazil, USA",Iron manganese niobium tantalum oxide mineral,-,-,6-6.5
Conglomerate Jasper,,-,"Root, Sacral","Circulation, digestion","Enhances stability, aids in grounding","Encourages perseverance, fosters strength",Worldwide,Jasper composed of various minerals,-,-,Variable
Conichalcite,,-,Solar Plexus,"Digestion, metabolism","Aids in decision-making, enhances joy","Encourages transformation, fosters creativity","Mexico, USA, Greece","Copper arsenate mineral, green to yellow",-,-,4-4.5
Copper,,-,"Root, Sacral","Blood circulation, metabolism","Enhances conductivity, aids in energy flow","Promotes balance, fosters abundance",Worldwide,"Metallic element, reddish-brown in color",June,Gemini,2.5-3
Coral,,-,"Root, Sacral","Blood circulation, bones","Enhances vitality, aids in protection","Promotes inner peace, fosters intuition","Mediterranean Sea, Japan, Australia","Marine invertebrate exoskeleton, red to pink",-,-,3-4
Cordierite,,Iolite,"Third Eye, Crown","Eyes, nervous system","Enhances intuition, aids in healing","Facilitates spiritual growth, fosters insight","Sri Lanka, India, Brazil",Magnesium iron aluminum cyclosilicate mineral,February,Aquarius,7-7.5
Covellite,,,"Third Eye, Crown","Nervous system, Metabolism","Enhances intuition, facilitates psychic visions","Stimulates clairvoyance, promotes self-discovery","United States, Italy, Peru","Blue to indigo mineral often with metallic iridescence, used for its metaphysical and transformative properties",,,1.5-2
Crazy Lace Agate,,-,"Root, Sacral","Digestive system, skin","Encourages stability, aids in grounding","Enhances joy, fosters vitality",Mexico,"Banded variety of chalcedony, multi-colored",May,Gemini,6.5-7
Creedite,,-,"Crown, Third Eye","Brain, nerves","Enhances intuition, aids in relaxation","Amplifies consciousness, fosters spiritual growth","Mexico, USA",Calcium aluminum sulfate mineral,-,-,3-4
Crocoite,,-,"Root, Sacral","Reproductive system, metabolism","Encourages passion, aids in creativity","Enhances vitality, fosters self-expression","Australia, Russia, USA","Lead chromate mineral, red-orange crystals",-,-,2.5-3
Crystallomancy,,-,All,Overall well-being,"Enhances clarity, aids in divination","Amplifies psychic abilities, fosters insight",Worldwide,Divination through crystals,-,-,-
Cumberlandite,,-,"Root, Sacral","Muscles, circulation","Encourages stability, aids in grounding","Enhances patience, fosters strength",USA,"Rare igneous rock, black with white spots",-,-,Variable
Cuprite,,-,"Root, Sacral","Blood circulation, vitality","Stimulates action, aids in grounding","Enhances intuition, fosters transformation","Namibia, Australia, USA","Copper oxide mineral, red to dark red",-,-,3.5-4
Dalmatian Jasper,,Dalmatian Stone,"Root, Sacral","Muscles, Nervous system, Reflexes","Encourages playfulness, dispels negativity and pessimism","Enhances loyalty, fosters positive attitudes","Mexico, United States, India","Cream to beige jasper with black spots resembling a Dalmatian dog's coat, used in jewelry and as a grounding and protective stone",,,6.5-7
Danburite,,,"Heart, Crown","Muscles, Nerves, Liver, Heart, brain","Promotes emotional healing, aids in lucid dreaming and meditation","Connects to higher consciousness, amplifies energy","Mexico, United States, Russia, Japan","Clear to white crystalline mineral, often used in jewelry and for its metaphysical properties",,,7-7.5
Datolite,,-,Heart,"Heart, nerves","Encourages emotional healing, aids in relaxation","Enhances intuition, fosters clarity","USA, Mexico, Russia",Hydrated calcium boron silicate mineral,-,-,5-5.5
Demantoid,,-,Heart,"Blood circulation, eyes","Stimulates creativity, aids in healing","Enhances vitality, fosters abundance","Russia, Italy, Namibia",Green variety of andradite garnet,January,Capricorn,6.5-7
Dendritic Agate,,-,Root,"Muscles, skin","Encourages stability, aids in protection","Enhances connection to nature, fosters growth","Brazil, USA, India",Translucent agate with tree-like inclusions,-,-,6.5-7
Dendritic Limestone,,-,Root,"Bones, joints","Aids in grounding, enhances stability","Encourages patience, fosters growth",Worldwide,Limestone with dendritic patterns,-,-,Variable
Dendritic Quartz,,-,Root,"Muscles, skin","Encourages grounding, aids in protection","Enhances connection to nature, fosters growth",Worldwide,Quartz with tree-like inclusions,-,-,7
Desert Rose,,Sand Rose,Root,"Skin, muscles","Encourages stability, aids in grounding","Enhances mental clarity, fosters growth","Tunisia, Mexico, USA",Sand crystal formations resembling rose petals,-,-,Variable
Diamond,,-,Crown,"Brain, nerves","Stimulates creativity, aids in manifestation","Enhances spiritual clarity, fosters abundance",Worldwide,"Carbon allotrope mineral, transparent",April,"Aries, Taurus",10
Diopside,,-,Heart,"Heart, lungs","Encourages emotional healing, aids in relaxation","Enhances compassion, fosters forgiveness","Italy, Russia, Brazil",Calcium magnesium silicate mineral,-,-,5.5-6.5
Dioptase,,-,Heart,"Heart, lungs","Stimulates emotional healing, aids in forgiveness","Enhances compassion, fosters spiritual growth","Congo, USA, Kazakhstan",Hydrated copper silicate mineral,-,-,5
Dolomite,,-,Crown,"Bones, muscles","Enhances balance, aids in healing","Encourages calmness, fosters clarity",Worldwide,"Carbonate mineral, often white to pink",-,-,3.5-4
Dragon Jasper,,-,"Root, Sacral","Digestion, muscles","Encourages strength, aids in grounding","Enhances vitality, fosters courage",Worldwide,Jasper with dragon-like patterns,-,-,6.5-7
Dragon Stone,,Dragon Blood Jasper,"Root, Heart","Muscles, circulatory system","Stimulates courage, aids in healing","Enhances vitality, fosters transformation","Australia, South Africa",Green and red jasper with white veins,-,-,6.5-7
Dravite,,Brown Tourmaline,"Root, Sacral","Digestive system, metabolism","Provides protection, aids in grounding","Enhances self-confidence, fosters stability","Brazil, Australia, USA",Brown variety of tourmaline,October,Libra,7-7.5
Dream Quartz,,"Lodolite, Garden Quartz",All,Overall well-being,"Enhances dreamwork, aids in relaxation","Amplifies spiritual growth, fosters insight",Brazil,Quartz with inclusions resembling landscapes,-,-,7
Dumortierite,,,"Throat, Third Eye","Thyroid, Vocal cords, eyes","Enhances mental clarity, communication, and self-discipline","Encourages psychic abilities, fosters patience","Brazil, France, United States, Madagascar","Blue to violet-blue mineral often with fibrous or grainy structure, used in jewelry and carvings for its calming properties",,,7-8
Ebony,,-,Root,Overall well-being,"Enhances protection, aids in grounding","Encourages strength, fosters stability",Worldwide,Dense black hardwood,-,-,Variable
Edenite,,-,"Throat, Third Eye","Throat, brain","Aids in communication, enhances insight","Facilitates spiritual growth, fosters clarity","Italy, Russia, USA","Silicate mineral, dark green to black",-,-,5-6
Eilat Stone,,King Solomon Stone,"Heart, Throat","Heart, throat","Enhances compassion, aids in communication","Encourages emotional healing, fosters intuition",Israel,"Blue-green mix of chrysocolla, malachite, turquoise",-,-,5-6
Elbaite,,-,All,Overall well-being,"Stimulates creativity, aids in balance","Enhances spiritual growth, fosters positivity","Brazil, Afghanistan, USA","Tourmaline mineral, various colors",-,-,7-7.5
Elephant Jasper,,-,"Root, Sacral","Muscles, reproductive system","Encourages protection, aids in grounding","Enhances strength, fosters stability",Worldwide,Jasper with elephant-like patterns,-,-,6.5-7
Emerald,,-,Heart,"Heart, eyes","Stimulates abundance, aids in healing","Enhances love, fosters intuition","Colombia, Zambia, Brazil",Green beryl variety,May,"Taurus, Gemini",7.5-8
Enhydro Agate,,-,All,Overall well-being,"Encourages emotional healing, aids in balance","Enhances spiritual growth, fosters transformation",Worldwide,Agate with water or air pockets,-,-,6.5-7
Enhydro Quartz,,-,All,Overall well-being,"Encourages emotional healing, aids in balance","Enhances spiritual growth, fosters transformation",Worldwide,Quartz crystals with water or air inclusions,-,-,7
Enstatite,,-,Root,"Muscles, metabolism","Enhances grounding, aids in stability","Encourages emotional balance, fosters growth","Myanmar, Tanzania, USA","Silicate mineral, green to brown",-,-,5.5-6.5
Epidote,,,Heart,"Brain, Thyroid, Immune system","Promotes personal power, releases negativity and self-doubt","Enhances perception, supports spiritual growth","Austria, Pakistan, United States, Norway","Green to black mineral often forming in prismatic crystals, used in jewelry and for its grounding and transformative properties",,,6-7
Epidote with Quartz,,-,Heart,"Heart, metabolism","Aids in healing, enhances vitality","Encourages growth, fosters abundance","Austria, Norway, USA",Epidote included within quartz,-,-,6-7
Euclase,,-,"Throat, Third Eye","Throat, eyes","Stimulates clear communication, aids in insight","Enhances spiritual growth, fosters intuition","Colombia, Zimbabwe, Brazil",Beryllium aluminum hydroxide mineral,-,-,7.5-8
Eudialyte,,-,"Root, Heart","Blood circulation, heart","Enhances vitality, aids in emotional healing","Encourages compassion, fosters self-love","Greenland, Russia, Canada","Cyclosilicate mineral, red to brown",-,-,5-6
Falcon's Eye,,Hawk's Eye,"Throat, Third Eye","Throat, eyes","Aids in communication, enhances intuition","Promotes clarity, fosters insight","South Africa, Australia, USA",Blue-gray variety of tiger's eye,-,-,7
Feldspar,,-,"Root, Solar Plexus","Bones, muscles","Encourages strength, aids in balance","Enhances creativity, fosters self-awareness",Worldwide,"Group of minerals, various colors",-,-,6-6.5
Ferberite,,-,"Root, Sacral","Reproductive system, circulation","Stimulates vitality, aids in grounding","Enhances perseverance, fosters determination","Peru, China, Austria",Iron tungstate mineral,-,-,7
Fire Agate,,,"Root, Sacral","Circulation, Digestive system","Provides courage, protection, and vitality","Ignites passion, enhances creativity and ambition","United States, Mexico","Transparent to translucent chalcedony with fiery iridescent colors, used in jewelry and for its grounding and energizing effects",,,6.5-7
Fire Quartz,,Hematoid Quartz,"Root, Sacral","Blood circulation, vitality","Stimulates action, aids in grounding","Enhances courage, fosters strength",Worldwide,Quartz with hematite inclusions,-,-,7
Flint,,-,"Root, Sacral","Nervous system, muscles","Encourages stability, aids in grounding","Enhances perseverance, fosters strength",Worldwide,Hard cryptocrystalline quartz,-,-,7
Flower Agate,,-,Heart,"Heart, skin","Encourages growth, aids in emotional healing","Enhances positivity, fosters self-discovery",Madagascar,Agate with flower-like patterns,-,-,6.5-7
Fluorite,,,"Third Eye, Crown","Immune system, Respiratory system","Brings mental clarity, focus, and creativity","Heightens intuition, balances energy fields","China, Mexico, United States, United Kingdom","Often in purple, green, blue, or clear crystals, displaying fluorescence under UV light, used for mental enhancement",,,4
Fluoroapatite,,-,Throat,"Teeth, bones","Aids in healing, enhances clarity","Encourages learning, fosters communication","Mexico, Russia, Brazil",Calcium phosphate mineral,-,-,5
Franklinite,,-,"Root, Solar Plexus","Bones, muscles","Encourages stability, aids in grounding","Enhances focus, fosters determination",USA,Zinc iron manganese oxide mineral,-,-,5.5-6.5
Fuchsite,,Chrome Mica,Heart,"Heart, muscles","Encourages emotional healing, aids in relaxation","Enhances compassion, fosters growth","Brazil, India, Russia",Green variety of muscovite mica,-,-,2-3
Fulgurite,,-,All,Overall well-being,"Stimulates transformation, aids in grounding","Enhances spiritual growth, fosters change",Worldwide,Glassy tubes formed by lightning strikes,-,-,Variable
Galaxite,,-,Root,"Muscles, circulation","Encourages protection, aids in grounding","Enhances stability, fosters balance","Canada, Russia, Finland","Dark silicate mineral, black with metallic sheen",-,-,6-6.5
Galena,,,"Root, Earth Star","Joints, Hair loss, Inflammation","Grounds energy, enhances psychic abilities and intuition","Assists in accessing the spiritual realm, provides insight","United States, UK, Mexico",Metallic silver-gray mineral used in jewelry and as a grounding stone,,,2.5
Garden Quartz,,-,All,Overall well-being,"Encourages grounding, aids in relaxation","Enhances connection to nature, fosters growth",Worldwide,Quartz with inclusions resembling gardens,-,-,7
Garnet,,,"Root, Heart","Blood, Heart, Respiratory system, circulation","Inspires love, devotion, and passion","Stimulates metabolism, promotes self-confidence","India, Brazil, United States, Madagascar","Group of silicate minerals available in various colors, often deep red, used in jewelry and as abrasives in industry",January,"Capricorn, Aquarius",6.5-7.5
Garnierite,,,Heart,"Heart, Lungs, Circulation",Encourages growth and compassion,"Facilitates emotional healing, enhances intuition","Canada, Russia, Australia",Green nickel ore often used in jewelry and for its soothing and heart-centered energies,,,2.2-2.6
Gaspeite,,-,Solar Plexus,"Digestion, metabolism","Encourages emotional healing, aids in relaxation","Enhances positivity, fosters growth","Australia, Canada, USA","Nickel carbonate mineral, green",-,-,4.5-5
Gehlenite,,-,Root,"Muscles, bones","Enhances stability, aids in grounding","Encourages patience, fosters growth","Germany, Italy, USA",Calcium aluminum silicate mineral,-,-,6-7
Gem Silica,,-,"Throat, Third Eye","Throat, eyes","Enhances communication, aids in insight","Encourages spiritual growth, fosters clarity","USA, Peru, Mexico",Chrysocolla in quartz or chalcedony,-,-,7
Girosol Quartz,,Girasol Quartz,Crown,"Brain, nerves","Encourages clarity, aids in relaxation","Enhances intuition, fosters insight","Madagascar, USA",Opalescent quartz variety,-,-,7
Goethite,,-,Root,"Muscles, blood circulation","Enhances grounding, aids in healing","Encourages balance, fosters strength",Worldwide,Iron oxide hydroxide mineral,-,-,5-5.5
Gold,,-,"Sacral, Solar Plexus","Circulation, digestive system","Stimulates vitality, aids in manifestation","Enhances abundance, fosters confidence",Worldwide,"Precious metal, yellow",Leo,Leo,2.5-3
Gold Healer,,-,All,Overall well-being,"Encourages vitality, aids in healing","Enhances spiritual growth, fosters positivity",Worldwide,Quartz with golden iron inclusions,-,-,7
Gold Sheen Obsidian,,-,"Root, Sacral","Digestive system, muscles","Encourages protection, aids in grounding","Enhances self-awareness, fosters strength",Worldwide,Volcanic glass with golden sheen,-,-,5-5.5
Golden Barite,,-,Solar Plexus,"Digestion, metabolism","Encourages emotional healing, aids in relaxation","Enhances clarity, fosters positivity","USA, Morocco, Peru","Barium sulfate mineral, yellow",-,-,3-3.5
Golden Beryl,,Heliodor,"Solar Plexus, Sacral","Digestion, liver","Stimulates action, aids in manifestation","Enhances confidence, fosters creativity","Brazil, Ukraine, Russia",Yellow variety of beryl,November,"Scorpio, Sagittarius",7.5-8
Golden Calcite,,-,Solar Plexus,"Metabolism, bones","Encourages self-worth, aids in healing","Enhances joy, fosters energy","Mexico, Brazil, USA","Calcium carbonate mineral, yellow",-,-,2.5-3
Golden Healer Quartz,,,"Solar Plexus, Crown","Digestive system, Vitality, Depression","Encourages healing, amplifies energy and spiritual growth","Facilitates spiritual awakening, enhances joy","Brazil, United States, South Africa","Clear quartz with golden or yellow iron oxide inclusions, used for healing and spiritual purposes",,,7
Golden Labradorite,,,"Solar Plexus, Sacral","Digestive system, Metabolism","Boosts confidence, supports self-expression and creativity","Aligns with personal power, aids in manifestation","Canada, Finland, Madagascar, Russia","Iridescent stone displaying spectral colors called labradorescence, usually golden to yellow, used in jewelry and for its energy",,,6-6.5
Golden Scapolite,,-,Solar Plexus,"Digestion, metabolism","Stimulates action, aids in manifestation","Enhances confidence, fosters growth","Canada, Tanzania, Madagascar","Calcium sodium aluminum silicate mineral, yellow",-,-,5.5-6
Golden Topaz,,-,Solar Plexus,"Digestion, metabolism","Stimulates creativity, aids in manifestation","Enhances confidence, fosters abundance","Brazil, Sri Lanka, Russia",Aluminum fluorosilicate mineral,November,"Scorpio, Sagittarius",8
Golden Wernerite,,-,Solar Plexus,"Digestion, metabolism","Encourages emotional healing, aids in relaxation","Enhances intuition, fosters growth","Canada, USA, Greenland","Silicate mineral, yellow",-,-,5-5.5
Goldstone,,-,Sacral,"Circulation, vitality","Encourages positivity, aids in grounding","Enhances ambition, fosters confidence",Worldwide,"Glass infused with copper particles, reddish-brown with sparkle",-,-,Variable
Graphite,,-,Root,"Nervous system, muscles","Enhances stability, aids in grounding","Encourages strength, fosters clarity",Worldwide,"Native element mineral, gray-black",-,-,1-2
Green Agate,,-,Heart,"Heart, circulatory system","Encourages balance, aids in healing","Enhances harmony, fosters growth",Worldwide,"Variety of chalcedony, green",-,-,6.5-7
Green Aventurine,,,Heart,"Heart, Muscular system","Attracts luck, prosperity, and opportunity","Promotes emotional healing, soothes emotional trauma","Brazil, India, Russia, Tanzania","Green variety of quartz with shimmering metallic inclusions, used in jewelry and carved into various shapes",,,6.5-7
Green Calcite,,,Heart,"Heart, Nervous system, Immune system","Brings balance, aids in relaxation and stress relief","Promotes abundance, aids in manifestation","Mexico, Brazil, United States","Green mineral with a waxy or glassy appearance, used in carvings, jewelry, and for its calming properties",,,3
Green Fluorite,,,"Heart, Throat","Respiratory system, Bones","Encourages emotional healing, fosters harmony and growth","Enhances intuition, promotes mental clarity","China, Mexico, United States",Green variety of fluorite used in carvings and jewelry for its calming and healing energies,,,4
Green Goldstone,,-,Heart,"Circulation, vitality","Encourages positivity, aids in grounding","Enhances ambition, fosters confidence",Worldwide,"Glass with copper sparkles, green",-,-,Variable
Green Jade,,-,Heart,"Heart, kidneys","Encourages balance, aids in healing","Enhances harmony, fosters growth","Myanmar, China, Guatemala","Silicate mineral, green",March,Pisces,6-7
Green Moonstone,,-,Heart,"Digestion, skin","Stimulates intuition, aids in healing","Enhances emotional balance, fosters growth","India, Sri Lanka, USA","Feldspar mineral, green with sheen",-,-,6-6.5
Green Obsidian,,-,Heart,"Circulation, skin","Enhances healing, aids in grounding","Encourages emotional balance, fosters growth",Worldwide,"Volcanic glass, green",-,-,5-5.5
Green Phantom Quartz,,-,Heart,Overall well-being,"Stimulates healing, aids in grounding","Enhances spiritual growth, fosters clarity",Worldwide,Quartz with green chlorite or other mineral inclusions,-,-,7
Green Tourmaline,,Verdelite,Heart,"Heart, Nervous system, Immune system","Promotes vitality, encourages compassion and prosperity","Enhances spiritual growth, brings balance and harmony","Brazil, United States, Africa",Green variety of tourmaline used in jewelry and for its heart-centered and healing energies,October,Libra,7-7.5
Green Turquoise,,-,"Heart, Throat","Immune system, throat","Stimulates healing, aids in communication","Enhances spiritual growth, fosters protection","USA, Iran, China","Hydrated phosphate mineral, green",December,Sagittarius,5-6
Greenstone,,-,Heart,Overall well-being,"Enhances healing, aids in grounding","Encourages emotional balance, fosters growth",Worldwide,"Metamorphic rock, green",-,-,Variable
Grossular,,-,Heart,"Metabolism, circulation","Stimulates vitality, aids in healing","Enhances abundance, fosters growth","USA, Italy, Kenya","Garnet variety, green",January,"Capricorn, Aquarius",6.5-7.5
Gyrolite,,-,Heart,"Metabolism, digestion","Encourages emotional healing, aids in relaxation","Enhances clarity, fosters growth","India, Iceland, Scotland","Silicate mineral, white to green",-,-,3.5-4
Hackmanite,,-,Crown,"Brain, nerves","Encourages relaxation, aids in stress relief","Enhances intuition, fosters transformation","Canada, Afghanistan, Myanmar","Sulfide mineral, violet to green",-,-,5.5-6
Haematite,,Hematite,Root,"Blood circulation, nerves","Stimulates vitality, aids in grounding","Enhances strength, fosters stability",Worldwide,"Iron oxide mineral, metallic gray-black",Aries,Aries,5.5-6.5
Harlequin Quartz,,-,Heart,Overall well-being,"Encourages healing, aids in grounding","Enhances spiritual growth, fosters clarity",Worldwide,"Quartz with colorful, angular patterns",-,-,7
Helidor,,Golden Beryl,"Solar Plexus, Sacral","Digestion, liver","Stimulates action, aids in manifestation","Enhances confidence, fosters creativity","Brazil, Ukraine, Russia",Yellow variety of beryl,November,"Scorpio, Sagittarius",7.5-8
Heliotrope,,Bloodstone,"Root, Heart","Blood circulation, heart","Enhances healing, aids in protection","Encourages courage, fosters vitality","India, Australia, USA",Chalcedony with red jasper inclusions,March,"Pisces, Aries",6.5-7
Hematite,,Haematite,Root,"Blood circulation, Anemia, Grounding","Provides strength, stability, and protection","Assists in grounding, absorbs negative energies","Brazil, United States, Italy, Canada","Metallic to earthy luster, often with a silver-black color, can be polished into a metallic sheen","March,April",Aries,5.5-6.5
Hemimorphite,,,"Throat, Third Eye","Hormones, Ulcers, Skin conditions","Encourages self-expression, facilitates emotional healing","Stimulates psychic abilities, enhances inner strength","United States, Mexico, China","Blue to green mineral often with a pearly luster, used in jewelry and for its calming and healing energies",,,4.5-5
Herderite,,-,"Third Eye, Crown","Brain, nerves","Stimulates intuition, aids in mental clarity","Enhances spiritual growth, fosters transformation","Brazil, Afghanistan, USA","Phosphate mineral, yellow to green",-,-,5-5.5
Herkimer Diamond,,-,Crown,"Brain, nerves","Enhances clarity, aids in purification","Encourages spiritual growth, fosters balance",USA,"Quartz crystals, double-terminated",April,Aries,7.5
Hessonite,,Cinnamon Stone,"Root, Sacral","Reproductive system, metabolism","Encourages vitality, aids in grounding","Enhances creativity, fosters courage","Sri Lanka, Brazil, India","Garnet variety, orange to brown",January,"Capricorn, Aquarius",6.5-7.5
Heulandite,,-,"Heart, Third Eye","Heart, eyes","Encourages emotional healing, aids in insight","Enhances intuition, fosters spiritual growth","India, USA, Iceland","Silicate mineral, white to pink-green",-,-,3-4
Hiddenite,,,"Heart, Solar Plexus","Heart, Lungs, Nervous system","Promotes love, compassion, and emotional healing","Aids in stress relief, fosters abundance and growth",United States,Green variety of spodumene often used in jewelry and for its calming and heart-centered energies,May,"Taurus, Gemini",6.5-7
Himalayan Salt,,Pink Salt,Root,"Skin, respiratory system","Enhances purification, aids in relaxation","Encourages grounding, fosters clarity","Pakistan, Himalayan region","Halite mineral, pink",-,-,2-2.5
Holey Stone,,Hag Stone,All,Overall well-being,"Aids in protection, connection to other realms","Enhances intuition, spiritual journey",Worldwide,Stone with naturally occurring hole in it,-,-,Variable
Honey Calcite,,-,"Solar Plexus, Crown","Bones, digestion, metabolism","Encourages confidence, aids in overcoming obstacles","Enhances self-worth, fosters mental clarity",Mexico,"Calcite mineral, yellow to brown in color",July,Cancer,2.5-3
Howlite,,,Crown,"Bones. Insomnia, Stress, Anxiety","Encourages patience, tranquility, and emotional expression, reduces anger and stress","Aids in spiritual attunement, facilitates calmness, Aids in communication, encourages emotional healing","United States, Canada","White to gray stone often with black veins, often dyed to resemble other stones, used in jewelry and ornamental objects",August,Leo,3.5-4.5
Hypersthene,,Velvet Labradorite,"Root, Third Eye","Nervous system, digestion","Enhances intuition, aids in grounding","Encourages self-discovery, fosters emotional balance","USA, Canada","Silicate mineral, gray-black in color",-,-,5-5.5
Ilmenite Quartz,,-,All,Overall well-being,"Aids in manifestation, amplifies energy","Enhances spiritual growth, fosters clarity",Madagascar,Quartz with ilmenite inclusions,-,-,7
Indicolite,,Blue Tourmaline,Throat,"Throat, immune system","Encourages self-expression, aids in communication","Enhances intuition, fosters emotional healing","Brazil, USA",Blue variety of tourmaline,October,Libra,7-7.5
Infinite Stone,,-,All,Overall well-being,"Aids in emotional healing, reduces stress","Encourages growth, fosters positivity",South Africa,"Serpentine mineral, black with white streaks",-,-,5-6
Iolite,,,"Third Eye, Crown","Eyes, Migraines, Varicose veins, Brain, Nervous system, Insomnia","Enhances intuition, aids in inner vision and spiritual growth, stimulates intuition and insight","Stimulates psychic abilities, fosters self-discovery, Facilitates inner journeying, aids in past life work","India, Sri Lanka, United States","Blue to violet-blue mineral often with a pleochroic effect, used in jewelry and for its metaphysical properties",September,"Libra, Sagittarius",7-7.5
Iron Pyrite,,Fool's Gold,Solar Plexus,"Digestive system, circulation","Enhances vitality, aids in manifestation","Encourages prosperity, fosters protection",Worldwide,"Iron sulfide mineral, metallic yellow-gold",April,Aries,6-6.5
Kambaba Jasper,,,"Heart, Root","Digestive system, Skin conditions, Immune system","Offers tranquility, aids in releasing negative energies","Enhances plant communication, aids in grounding",Madagascar,"Dark green orbicular jasper with black splotches, used in jewelry and for its calming and protective properties",,,6
Kunzite,,,Heart,"Nervous system, Depression","Enhances love, self-acceptance, and emotional healing","Activates the heart chakra, supports emotional healing","Afghanistan, Brazil, United States","Pink to lilac-colored stone, often used in jewelry due to its delicate hue",,,6-7
Kyanite,,,"Throat, Third Eye","Throat, Thyroid, Mobility","Facilitates communication, restores balance and tranquility","Aligns chakras, promotes spiritual expansion","Brazil, United States, Switzerland","Blue to green mineral often with a pearlescent sheen, used in jewelry and for metaphysical purposes",,,4.5-7
Labradorite,,,"Third Eye, Crown","Rheumatism, Metabolism","Enhances intuition, psychic abilities","Aids in spiritual transformation, protects aura","Canada, Finland, Madagascar, Russia","Iridescent stone displaying spectral colors called labradorescence, usually gray-green to black, often used in jewelry",,,6-6.5
Lapis Lazuli,,,"Throat, Third Eye","Thyroid, Hearing, Blood pressure","Enhances self-expression, truth-seeking, inner peace","Promotes inner vision, wisdom, and spiritual insight","Afghanistan, Chile, Russia, United States",Deep blue stone often with golden flecks of pyrite and whitish veins of calcite,,,5-5.5
